NRM/DEL/M/CSL/UNI: l
NRM/DEL/U/COA/AGG: rq
NRM/DEL/U/COA/SEG: ňq
NRM/DEL/U/COA/CPN: řq
NRM/DEL/U/COA/COH: qt
NRM/DEL/U/COA/CST: xht
NRM/DEL/U/COA/MLT: çq
NRM/DEL/N/CSL/UNI: ţ
NRM/DEL/N/CSL/DPX: ţţ
NRM/DEL/N/CSL/DCT: lţ
NRM/DEL/N/CSL/AGG: rţ
NRM/DEL/N/CSL/SEG: nţ
NRM/DEL/N/CSL/CPN: řţ
NRM/DEL/N/CSL/COH: sţ
NRM/DEL/N/CSL/CST: šţ
NRM/DEL/N/CSL/MLT: tf
NRM/DEL/N/ASO/UNI: x
NRM/DEL/N/ASO/DPX: xx
NRM/DEL/N/ASO/DCT: lx
NRM/DEL/N/ASO/AGG: rx
NRM/DEL/N/ASO/SEG: ňx
NRM/DEL/N/ASO/CPN: mx
NRM/DEL/N/ASO/COH: sx
NRM/DEL/N/ASO/CST: šx
NRM/DEL/N/ASO/MLT: kf
NRM/DEL/N/VAR/UNI: f
NRM/DEL/N/VAR/DPX: ff
NRM/DEL/N/VAR/DCT: lf
NRM/DEL/N/VAR/AGG: rf
NRM/DEL/N/VAR/SEG: mf
NRM/DEL/N/VAR/CPN: řf
NRM/DEL/N/VAR/COH: sf
NRM/DEL/N/VAR/CST: šf
NRM/DEL/N/VAR/MLT: pf
NRM/DEL/N/COA/UNI: xh
NRM/DEL/N/COA/DPX: xxh
NRM/DEL/N/COA/DCT: lxh
NRM/DEL/N/COA/AGG: rxh
NRM/DEL/N/COA/SEG: ňxh
NRM/DEL/N/COA/CPN: mxh
NRM/DEL/N/COA/COH: sxh
NRM/DEL/N/COA/CST: šxh
NRM/DEL/N/COA/MLT: qf
NRM/DEL/A/CSL/UNI: c
NRM/DEL/A/CSL/DPX: cc
NRM/DEL/A/CSL/DCT: lc
NRM/DEL/A/CSL/AGG: rc
NRM/DEL/A/CSL/SEG: ns
NRM/DEL/A/CSL/CPN: řc
NRM/DEL/A/CSL/COH: sc
NRM/DEL/A/CSL/CST: fk
NRM/DEL/A/CSL/MLT: fq
NRM/DEL/A/ASO/UNI: č
NRM/DEL/A/ASO/DPX: čč
NRM/DEL/A/ASO/DCT: lč
NRM/DEL/A/ASO/AGG: rč
NRM/DEL/A/ASO/SEG: nš
NRM/DEL/A/ASO/CPN: řč
NRM/DEL/A/ASO/COH: šč
NRM/DEL/A/ASO/CST: ţk
NRM/DEL/A/ASO/MLT: ţq
NRM/DEL/A/VAR/UNI: ż
NRM/DEL/A/VAR/DPX: żż
NRM/DEL/A/VAR/DCT: lż
NRM/DEL/A/VAR/AGG: rż
NRM/DEL/A/VAR/SEG: nz
NRM/DEL/A/VAR/CPN: řż
NRM/DEL/A/VAR/COH: ţf
NRM/DEL/A/VAR/CST: ţs
NRM/DEL/A/VAR/MLT: ţc
NRM/DEL/A/COA/UNI: j
NRM/DEL/A/COA/DPX: jj
NRM/DEL/A/COA/DCT: lj
NRM/DEL/A/COA/AGG: rj
NRM/DEL/A/COA/SEG: nž
NRM/DEL/A/COA/CPN: řj
NRM/DEL/A/COA/COH: fţ
NRM/DEL/A/COA/CST: ţš
NRM/DEL/A/COA/MLT: ţč
NRM/PRX/M/CSL/UNI: s
NRM/PRX/M/CSL/DPX: ss
NRM/PRX/M/CSL/DCT: ls
NRM/PRX/M/CSL/AGG: rs
NRM/PRX/M/CSL/SEG: fs
NRM/PRX/M/CSL/CPN: řs
NRM/PRX/M/CSL/COH: ňs
NRM/PRX/M/CSL/CST: ms
NRM/PRX/M/CSL/MLT: mss
NRM/PRX/M/ASO/UNI: š
NRM/PRX/M/ASO/DPX: šš
NRM/PRX/M/ASO/DCT: lš
NRM/PRX/M/ASO/AGG: rš
NRM/PRX/M/ASO/SEG: fš
NRM/PRX/M/ASO/CPN: řš
NRM/PRX/M/ASO/COH: ňš
NRM/PRX/M/ASO/CST: mš
NRM/PRX/M/ASO/MLT: mšš
NRM/PRX/M/VAR/UNI: z
NRM/PRX/M/VAR/DPX: zz
NRM/PRX/M/VAR/DCT: lz
NRM/PRX/M/VAR/AGG: rz
NRM/PRX/M/VAR/SEG: vz
NRM/PRX/M/VAR/CPN: řz
NRM/PRX/M/VAR/COH: ňz
NRM/PRX/M/VAR/CST: mz
NRM/PRX/M/VAR/MLT: mzz
NRM/PRX/M/COA/UNI: ž
NRM/PRX/M/COA/DPX: žž
NRM/PRX/M/COA/DCT: lž
NRM/PRX/M/COA/AGG: rž
NRM/PRX/M/COA/SEG: vž
NRM/PRX/M/COA/CPN: řž
NRM/PRX/M/COA/COH: ňž
NRM/PRX/M/COA/CST: mž
NRM/PRX/M/COA/MLT: mžž
NRM/PRX/U/CSL/UNI: d
NRM/PRX/U/CSL/DPX: dv
NRM/PRX/U/CSL/DCT: ld
NRM/PRX/U/CSL/AGG: rd
NRM/PRX/U/CSL/SEG: nd
NRM/PRX/U/CSL/CPN: řd
NRM/PRX/U/CSL/COH: md
NRM/PRX/U/CSL/CST: zd
NRM/PRX/U/CSL/MLT: žd
NRM/PRX/U/ASO/UNI: g
NRM/PRX/U/ASO/DPX: gv
NRM/PRX/U/ASO/DCT: lg
NRM/PRX/U/ASO/AGG: rg
NRM/PRX/U/ASO/SEG: ňg
NRM/PRX/U/ASO/CPN: řg
NRM/PRX/U/ASO/COH: ňkf
NRM/PRX/U/ASO/CST: zg
NRM/PRX/U/ASO/MLT: žg
NRM/PRX/U/VAR/UNI: b
NRM/PRX/U/VAR/DPX: bv
NRM/PRX/U/VAR/DCT: lb
NRM/PRX/U/VAR/AGG: rb
NRM/PRX/U/VAR/SEG: mb
NRM/PRX/U/VAR/CPN: řb
NRM/PRX/U/VAR/COH: ntf
NRM/PRX/U/VAR/CST: zb
NRM/PRX/U/VAR/MLT: žb
NRM/PRX/U/COA/UNI: ň
NRM/PRX/U/COA/DPX: ňň
NRM/PRX/U/COA/DCT: ňç
NRM/PRX/U/COA/AGG: rň
NRM/PRX/U/COA/SEG: ňv
NRM/PRX/U/COA/CPN: řň
NRM/PRX/U/COA/COH: ňf
NRM/PRX/U/COA/CST: řtf
NRM/PRX/U/COA/MLT: řkf
NRM/PRX/N/CSL/UNI: dh
NRM/PRX/N/CSL/DPX: ddh
NRM/PRX/N/CSL/DCT: ldh
NRM/PRX/N/CSL/AGG: rdh
NRM/PRX/N/CSL/SEG: ndh
NRM/PRX/N/CSL/CPN: řdh
NRM/PRX/N/CSL/COH: mdh
NRM/PRX/N/CSL/CST: ţx
NRM/PRX/N/CSL/MLT: ţxh
NRM/PRX/N/ASO/UNI: ç
NRM/PRX/N/ASO/DPX: çç
NRM/PRX/N/ASO/DCT: lç
NRM/PRX/N/ASO/AGG: rç
NRM/PRX/N/ASO/SEG: nç
NRM/PRX/N/ASO/CPN: řç
NRM/PRX/N/ASO/COH: mç
NRM/PRX/N/ASO/CST: fx
NRM/PRX/N/ASO/MLT: fxh
NRM/PRX/N/VAR/UNI: v
NRM/PRX/N/VAR/DPX: vv
NRM/PRX/N/VAR/DCT: lv
NRM/PRX/N/VAR/AGG: rv
NRM/PRX/N/VAR/SEG: mv
NRM/PRX/N/VAR/CPN: řv
NRM/PRX/N/VAR/COH: ndv
NRM/PRX/N/VAR/CST: xf
NRM/PRX/N/VAR/MLT: xţ
NRM/PRX/N/COA/UNI: ř
NRM/PRX/N/COA/DPX: řř
NRM/PRX/N/COA/DCT: rbv
NRM/PRX/N/COA/AGG: rdv
NRM/PRX/N/COA/SEG: rgv
NRM/PRX/N/COA/CPN: řxh
NRM/PRX/N/COA/COH: mţ
NRM/PRX/N/COA/CST: xhf
NRM/PRX/N/COA/MLT: xhţ
NRM/PRX/A/CSL/UNI: ck
NRM/PRX/A/CSL/DPX: čk
NRM/PRX/A/CSL/DCT: ps
NRM/PRX/A/CSL/AGG: ks
NRM/PRX/A/CSL/SEG: gd
NRM/PRX/A/CSL/CPN: psk
NRM/PRX/A/CSL/COH: pšk
NRM/PRX/A/CSL/CST: ksk
NRM/PRX/A/CSL/MLT: kšk
NRM/PRX/A/ASO/UNI: ct
NRM/PRX/A/ASO/DPX: čt
NRM/PRX/A/ASO/DCT: pš
NRM/PRX/A/ASO/AGG: kš
NRM/PRX/A/ASO/SEG: bd
NRM/PRX/A/ASO/CPN: pst
NRM/PRX/A/ASO/COH: pšt
NRM/PRX/A/ASO/CST: tx
NRM/PRX/A/ASO/MLT: txh
NRM/PRX/A/VAR/UNI: cp
NRM/PRX/A/VAR/DPX: čp
NRM/PRX/A/VAR/DCT: bz
NRM/PRX/A/VAR/AGG: gz
NRM/PRX/A/VAR/SEG: pç
NRM/PRX/A/VAR/CPN: ksp
NRM/PRX/A/VAR/COH: kšp
NRM/PRX/A/VAR/CST: px
NRM/PRX/A/VAR/MLT: pxh
NRM/PRX/A/COA/UNI: cq
NRM/PRX/A/COA/DPX: čq
NRM/PRX/A/COA/DCT: bž
NRM/PRX/A/COA/AGG: gž
NRM/PRX/A/COA/SEG: řqf
NRM/PRX/A/COA/CPN: kst
NRM/PRX/A/COA/COH: kšt
NRM/PRX/A/COA/CST: psq
NRM/PRX/A/COA/MLT: pšq
NRM/ICP/M/CSL/UNI: mt
NRM/ICP/M/CSL/DPX: mt’
NRM/ICP/M/CSL/DCT: skʰ
NRM/ICP/M/CSL/AGG: sk’
NRM/ICP/M/CSL/SEG: mtʰ
NRM/ICP/M/CSL/CPN: pst’
NRM/ICP/M/CSL/COH: pstʰ
NRM/ICP/M/CSL/CST: pšt’
NRM/ICP/M/CSL/MLT: pštʰ
NRM/ICP/M/ASO/UNI: mk
NRM/ICP/M/ASO/DPX: mk’
NRM/ICP/M/ASO/DCT: stʰ
NRM/ICP/M/ASO/AGG: st’
NRM/ICP/M/ASO/SEG: mkʰ
NRM/ICP/M/ASO/CPN: kst’
NRM/ICP/M/ASO/COH: kstʰ
NRM/ICP/M/ASO/CST: kšt’
NRM/ICP/M/ASO/MLT: kštʰ
NRM/ICP/M/VAR/UNI: ňp
NRM/ICP/M/VAR/DPX: ňp’
NRM/ICP/M/VAR/DCT: spʰ
NRM/ICP/M/VAR/AGG: sp’
NRM/ICP/M/VAR/SEG: ňpʰ
NRM/ICP/M/VAR/CPN: psk’
NRM/ICP/M/VAR/COH: pskʰ
NRM/ICP/M/VAR/CST: pšk’
NRM/ICP/M/VAR/MLT: pškʰ
NRM/ICP/M/COA/UNI: mq
NRM/ICP/M/COA/DPX: mq’
NRM/ICP/M/COA/DCT: sqʰ
NRM/ICP/M/COA/AGG: sq’
NRM/ICP/M/COA/SEG: mqʰ
NRM/ICP/M/COA/CPN: ksp’
NRM/ICP/M/COA/COH: kspʰ
NRM/ICP/M/COA/CST: kšp’
NRM/ICP/M/COA/MLT: kšpʰ
NRM/ICP/U/CSL/UNI: pk
NRM/ICP/U/CSL/DPX: pk’
NRM/ICP/U/CSL/DCT: škʰ
NRM/ICP/U/CSL/AGG: šk’
NRM/ICP/U/CSL/SEG: pkʰ
NRM/ICP/U/CSL/CPN: fk’
NRM/ICP/U/CSL/COH: fkʰ
NRM/ICP/U/CSL/CST: psq’
NRM/ICP/U/CSL/MLT: psqʰ
NRM/ICP/U/ASO/UNI: tk
NRM/ICP/U/ASO/DPX: tk’
NRM/ICP/U/ASO/DCT: štʰ
NRM/ICP/U/ASO/AGG: št’
NRM/ICP/U/ASO/SEG: tkʰ
NRM/ICP/U/ASO/CPN: ţk’
NRM/ICP/U/ASO/COH: ţkʰ
NRM/ICP/U/ASO/CST: ksk’
NRM/ICP/U/ASO/MLT: kskʰ
NRM/ICP/U/VAR/UNI: tp
NRM/ICP/U/VAR/DPX: tp’
NRM/ICP/U/VAR/DCT: špʰ
NRM/ICP/U/VAR/AGG: šp’
NRM/ICP/U/VAR/SEG: tpʰ
NRM/ICP/U/VAR/CPN: ţp’
NRM/ICP/U/VAR/COH: ţpʰ
NRM/ICP/U/VAR/CST: pšq’
NRM/ICP/U/VAR/MLT: pšqʰ
NRM/ICP/U/COA/UNI: kp
NRM/ICP/U/COA/DPX: kp’
NRM/ICP/U/COA/DCT: šqʰ
NRM/ICP/U/COA/AGG: šq’
NRM/ICP/U/COA/SEG: kpʰ
NRM/ICP/U/COA/CPN: xp’
NRM/ICP/U/COA/COH: xpʰ
NRM/ICP/U/COA/CST: kšk’
NRM/ICP/U/COA/MLT: kškʰ
NRM/ICP/N/CSL/UNI: pq
NRM/ICP/N/CSL/DPX: pq’
NRM/ICP/N/CSL/DCT: fg
NRM/ICP/N/CSL/AGG: bg
NRM/ICP/N/CSL/SEG: pqʰ
NRM/ICP/N/CSL/CPN: vg
NRM/ICP/N/CSL/COH: fp
NRM/ICP/N/CSL/CST: fq’
NRM/ICP/N/CSL/MLT: fqʰ
NRM/ICP/N/ASO/UNI: tq
NRM/ICP/N/ASO/DPX: tq’
NRM/ICP/N/ASO/DCT: ţg
NRM/ICP/N/ASO/AGG: dg
NRM/ICP/N/ASO/SEG: tqʰ
NRM/ICP/N/ASO/CPN: dhg
NRM/ICP/N/ASO/COH: vd
NRM/ICP/N/ASO/CST: ţq’
NRM/ICP/N/ASO/MLT: ţqʰ
NRM/ICP/N/VAR/UNI: qp
NRM/ICP/N/VAR/DPX: qp’
NRM/ICP/N/VAR/DCT: xhp
NRM/ICP/N/VAR/AGG: xp
NRM/ICP/N/VAR/SEG: scʰ
NRM/ICP/N/VAR/CPN: sc’
NRM/ICP/N/VAR/COH: ňqf
NRM/ICP/N/VAR/CST: gb
NRM/ICP/N/VAR/MLT: kkç/kçç
NRM/ICP/N/COA/UNI: pļ
NRM/ICP/N/COA/DPX: tç
NRM/ICP/N/COA/DCT: xhp’
NRM/ICP/N/COA/AGG: ţp
NRM/ICP/N/COA/SEG: ščʰ
NRM/ICP/N/COA/CPN: šč’
NRM/ICP/N/COA/COH: vb
NRM/ICP/N/COA/CST: dhz
NRM/ICP/N/COA/MLT: ppç/pçç
NRM/ICP/A/CSL/UNI: fst
NRM/ICP/A/CSL/DPX: fc’
NRM/ICP/A/CSL/DCT: fc
NRM/ICP/A/CSL/AGG: lfs
NRM/ICP/A/CSL/SEG: xc’
NRM/ICP/A/CSL/CPN: ţc’
NRM/ICP/A/CSL/COH: ltf
NRM/ICP/A/CSL/CST: fst’
NRM/ICP/A/CSL/MLT: fstʰ
NRM/ICP/A/ASO/UNI: fšt
NRM/ICP/A/ASO/DPX: fč’
NRM/ICP/A/ASO/DCT: fč
NRM/ICP/A/ASO/AGG: lfš
NRM/ICP/A/ASO/SEG: xč’
NRM/ICP/A/ASO/CPN: ţč’
NRM/ICP/A/ASO/COH: lkf
NRM/ICP/A/ASO/CST: fšt’
NRM/ICP/A/ASO/MLT: fštʰ
NRM/ICP/A/VAR/UNI: fsk
NRM/ICP/A/VAR/DPX: fcʰ
NRM/ICP/A/VAR/DCT: rfs
NRM/ICP/A/VAR/AGG: fsq
NRM/ICP/A/VAR/SEG: xcʰ
NRM/ICP/A/VAR/CPN: ţcʰ
NRM/ICP/A/VAR/COH: xhpʰ
NRM/ICP/A/VAR/CST: fsk’
NRM/ICP/A/VAR/MLT: fskʰ
NRM/ICP/A/COA/UNI: fšk
NRM/ICP/A/COA/DPX: fčʰ
NRM/ICP/A/COA/DCT: rfš
NRM/ICP/A/COA/AGG: fšq
NRM/ICP/A/COA/SEG: xčʰ
NRM/ICP/A/COA/CPN: ţčʰ
NRM/ICP/A/COA/COH: qpʰ
NRM/ICP/A/COA/CST: fšk’
NRM/ICP/A/COA/MLT: fškʰ
NRM/TRM/M/CSL/UNI: t’
NRM/TRM/M/CSL/DPX: ļt’
NRM/TRM/M/CSL/DCT: lt’
NRM/TRM/M/CSL/AGG: rt’
NRM/TRM/M/CSL/SEG: nt’
NRM/TRM/M/CSL/CPN: řt’
NRM/TRM/M/CSL/COH: ţsk’
NRM/TRM/M/CSL/CST: kt’
NRM/TRM/M/CSL/MLT: ňt’
NRM/TRM/M/ASO/UNI: k’
NRM/TRM/M/ASO/DPX: ļk’
NRM/TRM/M/ASO/DCT: lk’
NRM/TRM/M/ASO/AGG: rk’
NRM/TRM/M/ASO/SEG: ňk’
NRM/TRM/M/ASO/CPN: řk’
NRM/TRM/M/ASO/COH: ţšk’
NRM/TRM/M/ASO/CST: ft’
NRM/TRM/M/ASO/MLT: xt’
NRM/TRM/M/VAR/UNI: p’
NRM/TRM/M/VAR/DPX: ļp’
NRM/TRM/M/VAR/DCT: lp’
NRM/TRM/M/VAR/AGG: rp’
NRM/TRM/M/VAR/SEG: mp’
NRM/TRM/M/VAR/CPN: řp’
NRM/TRM/M/VAR/COH: fsq’
NRM/TRM/M/VAR/CST: pt’
NRM/TRM/M/VAR/MLT: fp’
NRM/TRM/M/COA/UNI: q’
NRM/TRM/M/COA/DPX: ļq’
NRM/TRM/M/COA/DCT: lq’
NRM/TRM/M/COA/AGG: rq’
NRM/TRM/M/COA/SEG: ňq’
NRM/TRM/M/COA/CPN: řq’
NRM/TRM/M/COA/COH: fšq’
NRM/TRM/M/COA/CST: xht’
NRM/TRM/M/COA/MLT: qt’
NRM/TRM/U/CSL/UNI: tʰ
NRM/TRM/U/CSL/DPX: ļtʰ
NRM/TRM/U/CSL/DCT: ltʰ
NRM/TRM/U/CSL/AGG: rtʰ
NRM/TRM/U/CSL/SEG: ntʰ
NRM/TRM/U/CSL/CPN: řtʰ
NRM/TRM/U/CSL/COH: ţskʰ
NRM/TRM/U/CSL/CST: ktʰ
NRM/TRM/U/CSL/MLT: ňtʰ
NRM/TRM/U/ASO/UNI: kʰ
NRM/TRM/U/ASO/DPX: ļkʰ
NRM/TRM/U/ASO/DCT: lkʰ
NRM/TRM/U/ASO/AGG: rkʰ
NRM/TRM/U/ASO/SEG: ňkʰ
NRM/TRM/U/ASO/CPN: řkʰ
NRM/TRM/U/ASO/COH: ţškʰ
NRM/TRM/U/ASO/CST: ftʰ
NRM/TRM/U/ASO/MLT: xtʰ
NRM/TRM/U/VAR/UNI: pʰ
NRM/TRM/U/VAR/DPX: ļpʰ
NRM/TRM/U/VAR/DCT: lpʰ
NRM/TRM/U/VAR/AGG: rpʰ
NRM/TRM/U/VAR/SEG: mpʰ
NRM/TRM/U/VAR/CPN: řpʰ
NRM/TRM/U/VAR/COH: fsqʰ
NRM/TRM/U/VAR/CST: ptʰ
NRM/TRM/U/VAR/MLT: fpʰ
NRM/TRM/U/COA/UNI: qʰ
NRM/TRM/U/COA/DPX: ļqʰ
NRM/TRM/U/COA/DCT: lqʰ
NRM/TRM/U/COA/AGG: rqʰ
NRM/TRM/U/COA/SEG: ňqʰ
NRM/TRM/U/COA/CPN: řqʰ
NRM/TRM/U/COA/COH: fšqʰ
NRM/TRM/U/COA/CST: xhtʰ
NRM/TRM/U/COA/MLT: qtʰ
NRM/TRM/N/CSL/UNI: c’
NRM/TRM/N/CSL/DPX: cc’
NRM/TRM/N/CSL/DCT: lc’
NRM/TRM/N/CSL/AGG: rc’
NRM/TRM/N/CSL/SEG: nc’
NRM/TRM/N/CSL/CPN: řc’
NRM/TRM/N/CSL/COH: mc’
NRM/TRM/N/CSL/CST: ňc’
NRM/TRM/N/CSL/MLT: çt’
NRM/TRM/N/ASO/UNI: č’
NRM/TRM/N/ASO/DPX: čč’
NRM/TRM/N/ASO/DCT: lč’
NRM/TRM/N/ASO/AGG: rč’
NRM/TRM/N/ASO/SEG: nč’
NRM/TRM/N/ASO/CPN: řč’
NRM/TRM/N/ASO/COH: mč’
NRM/TRM/N/ASO/CST: ňč’
NRM/TRM/N/ASO/MLT: çk’
NRM/TRM/N/VAR/UNI: cʰ
NRM/TRM/N/VAR/DPX: ccʰ
NRM/TRM/N/VAR/DCT: lcʰ
NRM/TRM/N/VAR/AGG: rcʰ
NRM/TRM/N/VAR/SEG: ncʰ
NRM/TRM/N/VAR/CPN: řcʰ
NRM/TRM/N/VAR/COH: mcʰ
NRM/TRM/N/VAR/CST: ňcʰ
NRM/TRM/N/VAR/MLT: çp’
NRM/TRM/N/COA/UNI: čʰ
NRM/TRM/N/COA/DPX: ččʰ
NRM/TRM/N/COA/DCT: lčʰ
NRM/TRM/N/COA/AGG: rčʰ
NRM/TRM/N/COA/SEG: nčʰ
NRM/TRM/N/COA/CPN: čřh
NRM/TRM/N/COA/COH: mčʰ
NRM/TRM/N/COA/CST: ňčʰ
NRM/TRM/N/COA/MLT: çq’
NRM/TRM/A/CSL/UNI: pps/pss
NRM/TRM/A/CSL/DPX: rps
NRM/TRM/A/CSL/DCT: lps
NRM/TRM/A/CSL/AGG: rbz
NRM/TRM/A/CSL/SEG: lbz
NRM/TRM/A/CSL/CPN: řps
NRM/TRM/A/CSL/COH: řbz
NRM/TRM/A/CSL/CST: ňss
NRM/TRM/A/CSL/MLT: çtʰ
NRM/TRM/A/ASO/UNI: ppš/pšš
NRM/TRM/A/ASO/DPX: rpš
NRM/TRM/A/ASO/DCT: lpš
NRM/TRM/A/ASO/AGG: rbž
NRM/TRM/A/ASO/SEG: lbž
NRM/TRM/A/ASO/CPN: řpš
NRM/TRM/A/ASO/COH: řbž
NRM/TRM/A/ASO/CST: ňšš
NRM/TRM/A/ASO/MLT: çkʰ
NRM/TRM/A/VAR/UNI: kks/kss
NRM/TRM/A/VAR/DPX: rks
NRM/TRM/A/VAR/DCT: lks
NRM/TRM/A/VAR/AGG: rgz
NRM/TRM/A/VAR/SEG: lgz
NRM/TRM/A/VAR/CPN: řks
NRM/TRM/A/VAR/COH: řgz
NRM/TRM/A/VAR/CST: ňzz
NRM/TRM/A/VAR/MLT: çpʰ
NRM/TRM/A/COA/UNI: kkš/kšš
NRM/TRM/A/COA/DPX: rkš
NRM/TRM/A/COA/DCT: lkš
NRM/TRM/A/COA/AGG: rgž
NRM/TRM/A/COA/SEG: lgž
NRM/TRM/A/COA/CPN: řkš
NRM/TRM/A/COA/COH: řgž
NRM/TRM/A/COA/CST: ňžž
NRM/TRM/A/COA/MLT: çqʰ
NRM/DPL/M/CSL/UNI: kc
NRM/DPL/M/CSL/DPX: lkç
NRM/DPL/M/CSL/DCT: lsk
NRM/DPL/M/CSL/AGG: rsk
NRM/DPL/M/CSL/SEG: nsk
NRM/DPL/M/CSL/CPN: řsk
NRM/DPL/M/CSL/COH: msk
NRM/DPL/M/CSL/CST: ňsk
NRM/DPL/M/CSL/MLT: ssk
NRM/DPL/M/ASO/UNI: żd
NRM/DPL/M/ASO/DPX: lţs
NRM/DPL/M/ASO/DCT: lst
NRM/DPL/M/ASO/AGG: rst
NRM/DPL/M/ASO/SEG: nst
NRM/DPL/M/ASO/CPN: řst
NRM/DPL/M/ASO/COH: mst
NRM/DPL/M/ASO/CST: ňst
NRM/DPL/M/ASO/MLT: sst
NRM/DPL/M/VAR/UNI: pc
NRM/DPL/M/VAR/DPX: bbz/bzz
NRM/DPL/M/VAR/DCT: lsp
NRM/DPL/M/VAR/AGG: rsp
NRM/DPL/M/VAR/SEG: nsp
NRM/DPL/M/VAR/CPN: řsp
NRM/DPL/M/VAR/COH: msp
NRM/DPL/M/VAR/CST: ňsp
NRM/DPL/M/VAR/MLT: ssp
NRM/DPL/M/COA/UNI: qc
NRM/DPL/M/COA/DPX: ggz/gzz
NRM/DPL/M/COA/DCT: lsq
NRM/DPL/M/COA/AGG: rsq
NRM/DPL/M/COA/SEG: nsq
NRM/DPL/M/COA/CPN: řsq
NRM/DPL/M/COA/COH: msq
NRM/DPL/M/COA/CST: ňsq
NRM/DPL/M/COA/MLT: ssq
NRM/DPL/U/CSL/UNI: kč
NRM/DPL/U/CSL/DPX: rçç
NRM/DPL/U/CSL/DCT: lšk
NRM/DPL/U/CSL/AGG: ršk
NRM/DPL/U/CSL/SEG: nšk
NRM/DPL/U/CSL/CPN: řšk
NRM/DPL/U/CSL/COH: mšk
NRM/DPL/U/CSL/CST: ňšk
NRM/DPL/U/CSL/MLT: ššk
NRM/DPL/U/ASO/UNI: jd
NRM/DPL/U/ASO/DPX: lţš
NRM/DPL/U/ASO/DCT: lšt
NRM/DPL/U/ASO/AGG: ršt
NRM/DPL/U/ASO/SEG: nšt
NRM/DPL/U/ASO/CPN: řšt
NRM/DPL/U/ASO/COH: mšt
NRM/DPL/U/ASO/CST: ňšt
NRM/DPL/U/ASO/MLT: ššt
NRM/DPL/U/VAR/UNI: pč
NRM/DPL/U/VAR/DPX: bbž/bžž
NRM/DPL/U/VAR/DCT: lšp
NRM/DPL/U/VAR/AGG: ršp
NRM/DPL/U/VAR/SEG: nšp
NRM/DPL/U/VAR/CPN: řšp
NRM/DPL/U/VAR/COH: mšp
NRM/DPL/U/VAR/CST: ňšp
NRM/DPL/U/VAR/MLT: ššp
NRM/DPL/U/COA/UNI: qč
NRM/DPL/U/COA/DPX: ggž/gžž
NRM/DPL/U/COA/DCT: lšq
NRM/DPL/U/COA/AGG: ršq
NRM/DPL/U/COA/SEG: nšq
NRM/DPL/U/COA/CPN: řšq
NRM/DPL/U/COA/COH: mšq
NRM/DPL/U/COA/CST: ňšq
NRM/DPL/U/COA/MLT: ššq
