CTX/PPS/ASR: t
FLC/THR/IRG: ţř
FLC/EXV/IRG: dhw
FLC/AXM/IRG: dhy
CTX/PPS/DIR: sk
CTX/EPI/DIR: sk’
CTX/ALG/DIR: skʰ
CTX/IPU/DIR: zg
CTX/RFU/DIR: skr
CTX/REB/DIR: skl
CTX/THR/DIR: skř
CTX/EXV/DIR: skw
CTX/AXM/DIR: sky
PCT/PPS/DIR: st
PCT/EPI/DIR: st’
PCT/ALG/DIR: stʰ
PCT/IPU/DIR: zd
PCT/RFU/DIR: str
PCT/REB/DIR: stl
PCT/THR/DIR: stř
PCT/EXV/DIR: stw
PCT/AXM/DIR: sty
ITR/PPS/DIR: sp
ITR/EPI/DIR: sp’
ITR/ALG/DIR: spʰ
ITR/IPU/DIR: zb
ITR/RFU/DIR: spr
ITR/REB/DIR: spl
ITR/THR/DIR: spř
ITR/EXV/DIR: spw
ITR/AXM/DIR: spy
REP/PPS/DIR: sq
REP/EPI/DIR: sq’
REP/ALG/DIR: sqʰ
REP/IPU/DIR: xx
REP/RFU/DIR: sqr
REP/REB/DIR: sql
REP/THR/DIR: xw
REP/EXV/DIR: sqw
REP/AXM/DIR: řř
ITM/PPS/DIR: šk
ITM/EPI/DIR: šk’
ITM/ALG/DIR: škʰ
ITM/IPU/DIR: žg
ITM/RFU/DIR: škr
ITM/REB/DIR: škl
ITM/THR/DIR: škř
ITM/EXV/DIR: škw
ITM/AXM/DIR: šky
RCT/PPS/DIR: št
RCT/EPI/DIR: št’
RCT/ALG/DIR: štʰ
RCT/IPU/DIR: žd
RCT/RFU/DIR: štr
RCT/REB/DIR: štl
RCT/THR/DIR: štř
RCT/EXV/DIR: štw
RCT/AXM/DIR: šty
FRE/PPS/DIR: šp
FRE/EPI/DIR: šp’
FRE/ALG/DIR: špʰ
FRE/IPU/DIR: žb
FRE/RFU/DIR: špr
FRE/REB/DIR: špl
FRE/THR/DIR: špř
FRE/EXV/DIR: špw
FRE/AXM/DIR: špy
FRG/PPS/DIR: šq
FRG/EPI/DIR: šq’
FRG/ALG/DIR: šqʰ
FRG/IPU/DIR: xxh
FRG/RFU/DIR: šqr
FRG/REB/DIR: šql
FRG/THR/DIR: xhw
FRG/EXV/DIR: šqw
FRG/AXM/DIR: řw
FLC/PPS/DIR: ň
FLC/EPI/DIR: ňň
FLC/ALG/DIR: rw
FLC/IPU/DIR: ry
FLC/RFU/DIR: ňr
FLC/REB/DIR: ňl
FLC/THR/DIR: ňř
FLC/EXV/DIR: ňw
FLC/AXM/DIR: řy
CTX/PPS/ADM: ks
CTX/EPI/ADM: kss
CTX/ALG/ADM: ksm
CTX/IPU/ADM: ksn
CTX/RFU/ADM: ksr
CTX/REB/ADM: ksl
CTX/THR/ADM: ksř
CTX/EXV/ADM: ksw
CTX/AXM/ADM: ksy
PCT/PPS/ADM: kš
PCT/EPI/ADM: kšš
PCT/ALG/ADM: kšm
PCT/IPU/ADM: kšn
PCT/RFU/ADM: kšr
PCT/REB/ADM: kšl
PCT/THR/ADM: kšř
PCT/EXV/ADM: kšw
PCT/AXM/ADM: kšy
ITR/PPS/ADM: ps
ITR/EPI/ADM: pss
ITR/ALG/ADM: psm
ITR/IPU/ADM: psn
ITR/RFU/ADM: psr
ITR/REB/ADM: psl
ITR/THR/ADM: psř
ITR/EXV/ADM: psw
ITR/AXM/ADM: psy
REP/PPS/ADM: pš
REP/EPI/ADM: pšš
REP/ALG/ADM: pšm
REP/IPU/ADM: pšn
REP/RFU/ADM: pšr
REP/REB/ADM: pšl
REP/THR/ADM: pšř
REP/EXV/ADM: pšw
REP/AXM/ADM: pšy
ITM/PPS/ADM: gz
ITM/EPI/ADM: gzz
ITM/ALG/ADM: gzm
ITM/IPU/ADM: gzn
ITM/RFU/ADM: gzr
ITM/REB/ADM: gzl
ITM/THR/ADM: gzř
ITM/EXV/ADM: gzw
ITM/AXM/ADM: gzy
RCT/PPS/ADM: gž
RCT/EPI/ADM: gžž
RCT/ALG/ADM: gžm
RCT/IPU/ADM: gžn
RCT/RFU/ADM: gžr
RCT/REB/ADM: gžl
RCT/THR/ADM: gžř
RCT/EXV/ADM: gžw
RCT/AXM/ADM: gžy
FRE/PPS/ADM: bz
FRE/EPI/ADM: bzz
FRE/ALG/ADM: bzm
FRE/IPU/ADM: bzn
FRE/RFU/ADM: bzr
FRE/REB/ADM: bzl
FRE/THR/ADM: bzř
FRE/EXV/ADM: bzw
FRE/AXM/ADM: bzy
FRG/PPS/ADM: bž
FRG/EPI/ADM: bžž
FRG/ALG/ADM: bžm
FRG/IPU/ADM: bžn
FRG/RFU/ADM: bžr
FRG/REB/ADM: bžl
FRG/THR/ADM: bžř
FRG/EXV/ADM: bžw
FRG/AXM/ADM: bžy
FLC/PPS/ADM: sx
FLC/EPI/ADM: sxh
FLC/ALG/ADM: šx
FLC/IPU/ADM: šxh
FLC/RFU/ADM: zgr
FLC/REB/ADM: zgl
FLC/THR/ADM: zgř
FLC/EXV/ADM: zgw
FLC/AXM/ADM: zgy
CTX/PPS/HOR: çt
CTX/EPI/HOR: çt’
CTX/ALG/HOR: çtʰ
CTX/IPU/HOR: sţ
CTX/RFU/HOR: çtr
CTX/REB/HOR: çtl
CTX/THR/HOR: çtř
CTX/EXV/HOR: çtw
CTX/AXM/HOR: çty
PCT/PPS/HOR: çk
PCT/EPI/HOR: çk’
PCT/ALG/HOR: çkʰ
PCT/IPU/HOR: šţ
PCT/RFU/HOR: çkr
PCT/REB/HOR: çkl
PCT/THR/HOR: çkř
PCT/EXV/HOR: çkw
PCT/AXM/HOR: çky
ITR/PPS/HOR: çp
ITR/EPI/HOR: çp’
ITR/ALG/HOR: çpʰ
ITR/IPU/HOR: sf
ITR/RFU/HOR: çpr
ITR/REB/HOR: çpl
ITR/THR/HOR: çpř
ITR/EXV/HOR: çpw
ITR/AXM/HOR: çpy
REP/PPS/HOR: çq
REP/EPI/HOR: çq’
REP/ALG/HOR: çqʰ
REP/IPU/HOR: šf
REP/RFU/HOR: çqr
REP/REB/HOR: çql
REP/THR/HOR: çqř
REP/EXV/HOR: çqw
REP/AXM/HOR: çč
ITM/PPS/HOR: kt
ITM/EPI/HOR: kt’
ITM/ALG/HOR: ktʰ
ITM/IPU/HOR: gd
ITM/RFU/HOR: ktr
ITM/REB/HOR: ktl
ITM/THR/HOR: ktř
ITM/EXV/HOR: ktw
ITM/AXM/HOR: kty
RCT/PPS/HOR: pt
RCT/EPI/HOR: pt’
RCT/ALG/HOR: ptʰ
RCT/IPU/HOR: bd
RCT/RFU/HOR: ptr
RCT/REB/HOR: ptl
RCT/THR/HOR: ptř
RCT/EXV/HOR: ptw
RCT/AXM/HOR: pty
FRE/PPS/HOR: qt
FRE/EPI/HOR: qt’
FRE/ALG/HOR: qtʰ
FRE/IPU/HOR: tk
FRE/RFU/HOR: qtr
FRE/REB/HOR: qtl
FRE/THR/HOR: qtř
FRE/EXV/HOR: qtw
FRE/AXM/HOR: qty
FRG/PPS/HOR: sc
FRG/EPI/HOR: sc’
FRG/ALG/HOR: scʰ
FRG/IPU/HOR: db
FRG/RFU/HOR: żr
FRG/REB/HOR: żl
FRG/THR/HOR: żř
FRG/EXV/HOR: żw
FRG/AXM/HOR: ży
FLC/PPS/HOR: šč
FLC/EPI/HOR: šč’
FLC/ALG/HOR: ščʰ
FLC/IPU/HOR: dg
FLC/RFU/HOR: jr
FLC/REB/HOR: jl
FLC/THR/HOR: jř
FLC/EXV/HOR: jw
FLC/AXM/HOR: jy
CTX/PPS/DEC: ct
CTX/EPI/DEC: ct’
CTX/ALG/DEC: ctʰ
CTX/IPU/DEC: tm
CTX/RFU/DEC: ctr
CTX/REB/DEC: ctl
CTX/THR/DEC: ctř
CTX/EXV/DEC: ctw
CTX/AXM/DEC: cty
PCT/PPS/DEC: ck
PCT/EPI/DEC: ck’
PCT/ALG/DEC: ckʰ
PCT/IPU/DEC: km
PCT/RFU/DEC: ckr
PCT/REB/DEC: ckl
PCT/THR/DEC: ckř
PCT/EXV/DEC: ckw
PCT/AXM/DEC: cky
ITR/PPS/DEC: cp
ITR/EPI/DEC: cp’
ITR/ALG/DEC: cpʰ
ITR/IPU/DEC: pm
ITR/RFU/DEC: cpr
ITR/REB/DEC: cpl
ITR/THR/DEC: cpř
ITR/EXV/DEC: cpw
ITR/AXM/DEC: cpy
REP/PPS/DEC: cq
REP/EPI/DEC: cq’
REP/ALG/DEC: cqʰ
REP/IPU/DEC: qm
REP/RFU/DEC: cqr
REP/REB/DEC: cql
REP/THR/DEC: gm
REP/EXV/DEC: cqw
REP/AXM/DEC: xm
ITM/PPS/DEC: čt
ITM/EPI/DEC: čt’
ITM/ALG/DEC: čtʰ
ITM/IPU/DEC: tn
ITM/RFU/DEC: čtr
ITM/REB/DEC: čtl
ITM/THR/DEC: čtř
ITM/EXV/DEC: čtw
ITM/AXM/DEC: čty
RCT/PPS/DEC: čk
RCT/EPI/DEC: čk’
RCT/ALG/DEC: čkʰ
RCT/IPU/DEC: kn
RCT/RFU/DEC: čkr
RCT/REB/DEC: čkl
RCT/THR/DEC: čkř
RCT/EXV/DEC: čkw
RCT/AXM/DEC: čky
FRE/PPS/DEC: čp
FRE/EPI/DEC: čp’
FRE/ALG/DEC: čpʰ
FRE/IPU/DEC: pn
FRE/RFU/DEC: čpr
FRE/REB/DEC: čpl
FRE/THR/DEC: čpř
FRE/EXV/DEC: čpw
FRE/AXM/DEC: čpy
FRG/PPS/DEC: čq
FRG/EPI/DEC: čq’
FRG/ALG/DEC: čqʰ
FRG/IPU/DEC: qn
FRG/RFU/DEC: čqr
FRG/REB/DEC: čql
FRG/THR/DEC: gn
FRG/EXV/DEC: čqw
FRG/AXM/DEC: xn
FLC/PPS/DEC: xt
FLC/EPI/DEC: xt’
FLC/ALG/DEC: xtʰ
FLC/IPU/DEC: pk
FLC/RFU/DEC: xtr
FLC/REB/DEC: xtl
FLC/THR/DEC: xtř
FLC/EXV/DEC: xtw
FLC/AXM/DEC: xty
